Date,Open,High,Low,Close,Volume,SGOL Percent Change
2015-02-19,118.68,118.7,118.08,118.29,14529,-0.003034134007585343
2015-02-20,118.38,119.0,117.37,117.67,28431,-0.00524135598951736
2015-02-23,117.69,118.51,117.36,117.68,46548,8.498342823148874e-05
2015-02-24,117.22,117.64,116.66,117.49,34916,-0.0016145479265806673
2015-02-25,118.13,118.13,117.61,117.98,31358,0.004170567707890038
2015-02-26,118.78,118.82,118.09,118.19,167292,0.0017799627055432587
2015-02-27,119.07,119.26,118.58,118.59,12915,0.003384381081309895
2015-03-02,118.77,118.86,117.93,117.97,66412,-0.005228096804115068
2015-03-03,118.37,118.85,117.67,117.78,27591,-0.0016105789607526733
2015-03-04,117.95,118.0,117.34,117.37,10978,-0.0034810663949736975
2015-03-05,117.66,118.24,117.15,117.31,16916,-0.0005112038851495804
2015-03-06,115.46,115.46,113.98,114.06,64673,-0.027704373028727303
2015-03-09,114.65,114.82,114.18,114.18,104797,0.0010520778537612685
2015-03-10,114.27,114.54,113.4,113.59,112468,-0.005167279733753749
2015-03-11,113.39,113.45,112.42,112.92,24271,-0.0058984065498723925
2015-03-12,113.37,113.38,112.5,112.89,19451,-0.0002656748140276166
2015-03-13,113.27,113.47,112.74,113.11,33185,0.0019487997165381632
2015-03-16,113.27,113.34,112.66,113.08,19090,-0.0002652285385907893
2015-03-17,112.13,113.5,111.96,112.37,21592,-0.006278740714538378
2015-03-18,112.57,115.08,112.38,114.66,40742,0.02037910474325888
2015-03-19,114.13,114.73,113.83,114.52,21528,-0.0012210012210012167
2015-03-20,114.94,116.26,114.94,115.86,30788,0.011701012923506893
2015-03-23,115.99,116.61,115.8,116.58,32239,0.006214396685655155
2015-03-24,116.65,116.9,116.18,116.88,13401,0.00257334019557387
2015-03-25,117.34,117.44,116.99,117.02,8556,0.0011978097193703352
2015-03-26,118.14,118.14,117.66,117.83,37812,0.0069218936933856945
2015-03-27,117.42,117.55,116.85,117.31,26859,-0.004413137571076975
2015-03-30,116.22,116.24,115.94,116.04,11796,-0.01082601653737958
2015-03-31,116.06,116.4,115.65,115.84,8711,-0.0017235436056532993
2015-04-01,116.79,118.21,116.79,117.88,11875,0.017610497237569023
2015-04-02,117.85,117.85,117.16,117.59,10275,-0.002460128944689499
2015-04-06,119.57,119.72,118.87,119.01,30723,0.01207585679054346
2015-04-07,118.62,118.75,118.26,118.44,7487,-0.004789513486261665
2015-04-08,118.26,118.28,117.29,117.57,8768,-0.007345491388044634
2015-04-09,117.05,117.05,116.81,116.98,8016,-0.005018286977970465
2015-04-10,118.28,118.38,117.84,118.26,8202,0.01094204137459398
2015-04-13,117.62,117.68,117.22,117.48,11316,-0.006595636732623089
2015-04-14,116.94,117.16,116.67,116.72,15188,-0.00646918624446724
2015-04-15,117.13,117.84,116.81,117.7,32750,0.00839616175462643
2015-04-16,117.83,117.95,116.95,117.37,18421,-0.002803738317757043
2015-04-17,117.65,118.03,117.65,117.84,11652,0.004004430433671269
2015-04-20,117.13,117.21,116.71,116.99,7081,-0.007213170400543145
2015-04-21,117.0,117.75,116.96,117.54,5437,0.004701256517651187
2015-04-22,117.14,117.14,116.1,116.15,12168,-0.01182576144291303
2015-04-23,116.36,117.21,116.34,116.88,15161,0.00628497632371916
2015-04-24,116.25,116.25,115.05,115.32,37562,-0.013347022587269053
2015-04-27,116.1,118.05,116.0,117.65,28229,0.02020464793617771
2015-04-28,117.68,118.85,117.68,118.59,21719,0.007989800254993629
2015-04-29,118.31,118.59,117.61,117.81,17135,-0.006577283076144691
2015-04-30,116.14,116.14,115.18,115.74,29405,-0.017570664629488197
2015-05-01,114.6,115.39,114.6,115.32,27981,-0.003628823224468669
2015-05-04,116.4,116.67,116.17,116.36,26912,0.009018383628165205
2015-05-05,117.22,117.34,116.7,116.76,50459,0.0034376074252320254
2015-05-06,116.86,117.01,116.42,116.63,6713,-0.0011133949982872204
2015-05-07,116.14,116.14,115.64,115.79,5730,-0.007202263568550027
2015-05-08,116.68,116.68,115.93,116.29,13083,0.0043181621901717815
2015-05-11,116.31,116.41,115.42,115.83,16664,-0.003955628170951964
2015-05-12,116.43,116.88,116.37,116.76,11050,0.008029008029008189
2015-05-13,118.07,119.2,118.02,118.84,34814,0.017814319972593307
2015-05-14,119.58,120.05,119.46,119.51,17260,0.0056378323796701935
2015-05-15,119.05,119.9,119.05,119.82,31398,0.0025939251945443775
2015-05-18,120.1,120.19,119.63,119.85,23746,0.00025037556334495115
2015-05-19,118.92,118.92,118.05,118.17,16982,-0.014017521902377927
2015-05-20,118.31,118.62,118.13,118.35,21344,0.0015232292460014563
2015-05-21,117.9,118.15,117.74,117.95,14854,-0.003379805661174462
2015-05-22,117.85,118.01,117.7,117.87,12526,-0.0006782534972445964
2015-05-26,115.95,116.4,115.95,116.14,23256,-0.014677186731144487
